"census_tract","total_population","california_county","zip","approximate_location","longitude","latitude","ces_4_0_score","ces_4_0_percentile","ces_4_0_percentile_range","ozone","ozone_pctl","pm2_5","pm2_5_pctl","diesel_pm","diesel_pm_pctl","drinking_water","drinking_water_pctl","lead","lead_pctl","pesticides","pesticides_pctl","tox_release","tox_release_pctl","traffic","traffic_pctl","cleanup_sites","cleanup_sites_pctl","groundwater_threats","groundwater_threats_pctl","haz_waste","haz_waste_pctl","imp_water_bodies","imp_water_bodies_pctl","solid_waste","solid_waste_pctl","pollution_burden","pollution_burden_score","pollution_burden_pctl","asthma","asthma_pctl","low_birth_weight","low_birth_weight_pctl","cardiovascular_disease","cardiovascular_disease_pctl","education","education_pctl","linguistic_isolation","linguistic_isolation_pctl","poverty","poverty_pctl","unemployment","unemployment_pctl","housing_burden","housing_burden_pctl","pop_char","pop_char_score","pop_char_pctl","direct","indirect","avg_env","scaled_comp_env","avg_pop","scaled_comp_pop","water_risk_score","PCT"
6095252909,3471,"Solano",95687,"Vacaville",-121.925,38.34463,20.92,39.85,"35-40%",0.044,35.16,7.73885,11.24,0.114,41.39,349.65,36.18,9.11,3.24,88.76,76.17,362.6697,45.31,403.4203,14.36,3,31.24,22.5,71.69,0.1,16.64,4,43.78,1,35.72,35.19,4.3,29.62,77.03,83.44,7.32,92.61,15.25,68.1,10.3,43.07,0,0,9.8,9.64,2.3,8.69,4.8,0.98,46.93,4.87,45.65,50.55,23.2025,49.16833,0,9.9808,0,0,61
6067008130,3730,"Sacramento",95842,"Foothill Farms",-121.3319,38.69512,20.9,39.84,"35-40%",0.051,63.29,8.60129,26.1,0.357,81.85,705.61,78.08,37.91,34.18,0,0,54.1774,18.64,2183.789,89.6,0,0,0,0,0.15,26.67,0,0,0,0,34.42,4.2,27.55,67.58,76.83,3.7,20.27,14.07,60.71,9.5,40.07,7.4,50.52,26,46.39,7,67.48,9.5,12,47.95,4.97,47.21,26.02667,6.6675,21.79611,0,34.6336,0,0,61
6113010701,5140,"Yolo",95616,"Davis",-121.7458,38.5512,20.9,39.83,"35-40%",0.045,39.99,8.7652,31.87,0.118,42.87,512.44,61.66,56.83,61.27,0.82,41.41,131.2487,27.09,451.7937,17.45,7.7,51.98,71,94.42,0.435,64.63,0,0,0,0,41.04,5.01,45.79,25.33,17.15,4.32,34.18,9.91,29.24,1.5,3.87,3.1,24.77,49.8,81.49,6.5,62.4,34,95.32,40.21,4.17,35.73,52.02667,26.51,52.35778,0,42.856,0,0,61
6059075504,3857,"Orange",92780,"Tustin",-117.8245,33.7531,20.89,39.81,"35-40%",0.049,59.69,11.85538,71.51,0.27,72.98,445.53,53.59,47.06,47.41,0,0,3999.083,89.28,1935.765,85.98,20,81.91,20,68.42,0.65,76.65,0,0,0,0,55.17,6.74,82.73,33.71,31.44,3.63,18.8,10.68,35.43,10.3,43.07,3.2,25.55,16.6,25.98,2.6,11.87,17.1,49.72,29.9,3.1,19.83,40.67,19.1625,39.88833,0,24.9904,0,0,61
6059052418,21717,"Orange",92620,"Irvine",-117.755,33.69197,20.89,39.8,"35-40%",0.051,63.29,11.37386,58.82,0.229,66.98,411.38,47.3,18.17,10.46,42.56,71.21,1342.856,70.61,2019.505,87.48,12,68.94,2,14.31,0.35,56.4,0,0,1.2,37.57,51.49,6.29,74.15,18.1,6.69,4.4,35.85,9.73,27.41,4.6,19.29,11.7,67.72,23.6,41.91,3.1,18.31,18.5,56.48,32.03,3.32,22.81,20.53667,31.9025,34.95944,0,32.5936,0,0,61
6087101000,8081,"Santa Cruz",95060,"Santa Cruz",-122.024,36.96383,20.89,39.79,"35-40%",0.036,13.62,6.197462,3.97,0.127,45.14,274.75,18.26,51.77,54.01,0,9.55,27.76207,13.5,509.8074,21.68,12.2,69.35,67.25,93.82,0.61,75.25,14,93.36,0,0,37.1,4.53,34.61,26.03,18.38,4.71,44.21,9.04,21.44,12.1,48.58,3.9,30.69,57.8,89.94,4.4,36.44,40.7,98.82,44.45,4.61,41.84,68.48,21.2,59.78667,0,48.7152,0,0,61
6073014601,4854,"San Diego",91941,"La Mesa",-117.0301,32.76069,20.88,39.78,"35-40%",0.045,42.56,10.01372,49.32,0.117,42.38,408.31,45.86,56.42,60.64,0,0,194.0435,34.15,732.6867,38.94,3.5,33.87,23.5,72.94,0.205,35.98,2,23.88,4.75,73.01,42.13,5.14,48.95,29.43,23.95,3.7,20.27,7.24,8.89,10.2,42.66,8.1,53.86,41.3,71.09,10.8,89.19,16.4,46.02,39.13,4.06,34.04,47.56,8.995,37.70333,0,48.4512,0,0,61
6071009112,9555,"San Bernardino",92301,"Adelanto",-117.4162,34.5136,20.88,39.76,"35-40%",0.062,88.7,8.423226,20.77,0.027,9.43,212.47,8.47,39.14,35.83,0,0,46.9526,17.62,692.6207,35.45,0,0,0,0,0.1,16.64,0,0,0,0,19.13,2.34,2.41,83.83,87.28,6.64,85.59,30.47,99.6,30.8,81.14,7.8,52.51,50.2,82.14,14.1,95.86,34.8,95.97,86.17,8.94,97.34,2.823333,4.16,4.655556,0,65.2192,0,0,61
6013355108,13457,"Contra Costa",94531,"Antioch",-121.8015,37.94474,20.87,39.75,"35-40%",0.044,37.57,8.482666,22.31,0.007,2.86,241.1,10.67,17.92,10.13,11.14,61.17,288.7647,41.12,877.8219,49.73,0,0,0,0,0.26,44.73,8,72.15,0,0,27.42,3.35,12.84,105.33,94.08,6.76,87.34,17.3,77.58,9.8,41.23,3,23.77,17.3,27.85,3.2,19.59,18.6,56.86,60.1,6.23,65.78,27.60667,26.475,36.05444,0,27.088,0,0,61
6081601605,6310,"San Mateo",94015,"Daly City",-122.4698,37.65697,20.87,39.74,"35-40%",0.034,10.57,8.433737,21.21,0.204,62.8,NA,NA,32.38,27.13,0,0,166.7943,31.18,754.7033,40.84,9,58.17,15,59.6,0.475,67.56,0,0,0,0,30.81,3.76,19.59,50.01,56.57,9.12,98.82,12.47,50.22,9.8,41.23,11,65.62,12.4,15.59,3.7,26.86,15.8,42.83,53.48,5.55,55.26,NA,16.89,NA,NA,30.7408,0,NA,NA
